Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:41:14,47.4,17.2,1908.12,63915.67
23:41:15,47.4,37.8,1908.12,63916.05
23:41:16,47.4,15.5,1908.12,63916.23
23:41:17,77.3,17.5,1908.12,63916.68
23:41:18,77.2,27.1,1908.13,63917.12
23:41:19,77.3,28.5,1908.24,63918.43
23:41:20,47.4,48.9,1909.01,63919.73
23:41:21,77.6,55.7,1909.13,63947.39
23:41:22,32.9,48.1,1909.15,63921.7
23:41:23,77.6,24.1,1909.16,63921.94
23:41:24,77.6,13.8,1909.16,63921.98
23:41:25,77.6,39.2,1909.58,63922.31
23:41:26,77.6,58.7,1910.1,63923.19
23:41:27,77.8,37.8,1910.32,63924.24
23:41:28,77.9,33,1910.43,63925.65
23:41:29,77.9,41.7,1910.56,63925.31
23:41:31,78,47.3,1910.56,63926.19
23:41:32,78,21.2,1910.56,63928.13
23:41:33,77.9,22.1,1910.56,63929.14
23:41:34,77.9,14.1,1910.57,63929.15
23:41:35,77.9,15,1910.64,63984.59
23:41:36,77.9,13.2,1910.66,63984.86
23:41:37,77.9,19.4,1910.68,63931.02
23:41:38,77.8,21.8,1910.69,63931.09
23:41:39,77.8,25.6,1910.69,63932.64
23:41:40,77.9,19.7,1910.69,63932.85
23:41:41,77.9,16.6,1910.69,63933.02
23:41:42,77.9,28.3,1910.69,63933.12
23:41:43,77.9,22.4,1910.69,63933.12
23:41:44,77.9,11,1910.69,63933.13
23:41:45,77.9,8.5,1910.69,63933.15
23:41:46,77.9,5.8,1910.69,63933.18
23:41:47,77.9,10.2,1910.7,63933.38
23:41:48,77.8,29.9,1910.72,63934.25
23:41:49,78.3,21.3,1910.72,63934.3
23:41:50,78.2,15.2,1910.72,63935.48
23:41:51,78.3,22.9,1910.72,63935.56
23:41:53,77.9,25.2,1910.73,63935.61
23:41:54,77.9,19.9,1910.74,63935.31
23:41:55,77.8,26.2,1910.74,63935.91
23:41:56,77.6,28.4,1910.74,63936.02
23:41:57,77.2,32.1,1910.74,63936.22
23:41:58,26.9,27.7,1910.74,63936.35
23:41:59,26.9,41.9,1910.74,63936.42
23:42:00,26.9,21.8,1910.74,63936.51
23:42:01,77,10.2,1910.74,63936.8
23:42:02,26.9,25.1,1910.74,63936.92
23:42:03,77,43,1910.8,63940.73
23:42:04,77.3,54.9,1912.05,63943.05
23:42:05,47.4,33.3,1912.16,63943.85
